set	id	turn1	turn2	turn3	turn4	turn5	turn6
train	chain2_1483_879_721_685_630_151	What will be the color?	The color will be red.	What kind of red - bright or deep?	A bright red, I guess. What do you mean by a deep red, though?	You know, like a dark red.	Deep is more like burgundy, right?
train	chain2_185_1146_1039_288_306_928	Where did you find that shirt?	THE SHIRT IS GOOD ONE AND FIND IN THE SHOPPING MALL	Really? Which store did you find it in?	I found this here shirt all the way in the back of Spencer's under a pile of 15 others.	You are so brave and strong to lift 15 shirts up to find that one.	Why thank you, and you are very clever and beautiful to have noticed my manly strength.
train	chain2_1940_1353_1048_321_1037_379	How are you feeling?	Like a sandwich full of rubber duckies.	What on Earth does that mean?  You are so weird!	Oh come on, you love that about me.	True, you are a special thing indeed.	Ha! I love you too!
train	chain2_983_700_335_628_229_499	Are you using the bathroom?	It depends on how you define 'using'.	Ew, that's nasty.	Sorry, I couldn't resist saying that.	Well hurry up we need to get going.	okay 2 more minutes
train	chain3_262_151_308_207_13_21	What color blanket is on your bed?	Depends on how long the cats have been sleeping there.	Before the cats have been laying on it.	I can't even remember... possibly turquoise.	Too bad you don't own Russian Blues.	You think they would go well with my possibly turquoise blanket?
train	chain2_1458_589_455_1179_760_719	Have you ever been on a boat ride?	YES, BUT I GET SEA SICK.	Have you tried getting some tablets to help that?	I have, but they didn't even work.	So even with the tablets you threw up all over the boat?	Yeah even taking some motion sickness tablets. I mean it helped a little but I still felt sea sick.
train	chain2_432_448_285_379_111_547	Which country are you from?	I'm from the United States of America.	You're very lucky, then.	I guess so. I haven't really thought about it.	You should certainly think about. There are so many benefits.	Perhaps you're right. I will look into that.
train	chain2_918_42_658_355_514_548	Can we go to bed?	No. We have too much work to do.	I just hope we can finish it before my favorite show comes on!	We will never finish the work in time.	Not with that attitude we won't.	Well, we'll have to work more efficiently at lest.
train	chain2_149_1363_100_558_541_910	Did you see that play?	Yes, it was terrible.	That's good to know because I was thinking about going to see it sometime.	Don't bother, it's not worth the ticket price.	I'll probably just go to the casino instead. Do you want to come?	Yeah. I love slot machines.
train	chain2_1212_1448_1374_877_196_572	Want to go to the store?	Sure!  Lets go.	Shall I drive or will you?	YOU CAN DRIVE.	OK, can we take your car?	No, i just got it washed and it looks like it's gonna rain.
train	chain2_487_1337_302_477_42_966	Where is my blue shirt?	You're wearing it, Dan. Time to get your eyes checked, buddy.	Oh haha, maybe I should get them checked!	Are you colorblind?	No, I just can't see blue, green, red or yellow.	That's being colorblind, Dan.
train	chain3_426_48_103_196_334_265	Do you play tennis?	Yes I do	I bet you can't beat me.	i bet i can.	I mean playing tennis, not hitting me with the raquet! ow..OW!	That's why you need to be specific.
train	chain2_146_356_1142_866_871_321	Would you pick up the book for me when you go?	Sure just text me in case I forget.	You forget everything. I will text you.	About what? I've already forgotten.	Ha ha very funny, anyway it is the book by Stephen King.	What is the title? Stephen King has a lot of books.
train	chain2_507_534_1285_395_499_775	Would you like to go on a date with me?	Ya I would like to go on a date with you.	Where do you want to go?	To your bed.	Well that escalated quickly.	I'm kidding. Let's go to a movie.
train	chain3_163_347_297_186_325_250	What time is it now?	Time you got a watch.	I wish I have one but I don't!	You really should get a watch, man!	Ill go buy one tomorrow.	Well then you know it's the day before tomorrow... ha ha!
train	chain2_1137_1480_560_1279_895_601	Where do you live now?	I live on Carlyle Ave.	Hey!  I don't live far from there!	You should come over sometime.	How about tomorrow night?	Awesome! be my guest.
train	chain2_1984_1131_1211_60_66_381	How was your day?	It was very good	Did you spend any time outside?	Not much, it was rainy.	What did you do, then?	I stayed inside and watched movies.
train	chain2_1752_560_921_767_623_871	Could you fix this?	If I have some help yes	Who should I call?	Nobody; I'm here to help any way I can.	So you're saying you're going to help yourself?	No, I only need you to help me with it.
train	chain2_850_11_1330_680_335_25	When did you call me?	I called you this morning.	Don't ever wake me up at 5 am. again	I'm sorry, I forgot about the time difference.	Well - always remember that I'm 2 hours behind you	I will, I'll try not to wake you up again.
train	chain2_1200_1464_193_1129_1034_1002	Did you finish the list?	No but I will finish it shortly.	Add eggs, please?	Sure! Would a dozen work?	Yes, and don't forget the cream while you're at it.	Is there anything else you need?
train	chain3_188_397_384_345_247_95	What time is the movie?	The first showing is at 7:30.	Do you think we can still make it in time?	yes  we  just have  to leave  early .	Better hurry, then! I want to get some popcorn before the show, too.	Yum! Me, too!
train	chain2_330_812_175_1061_508_2	What are your certifications?	I don't have any.	Are you going to try to get some?	Not yet. I want to see how I do without them, first.	The job requirement specifically states that you need these certifications though.	I thought I could get by with my charm.
train	chain3_146_320_257_107_200_306	Where is the money you stored from last year?	I put it an a savings account.	That was smart of you.	I sure hope so.	I wish I had put my money into a savings account instead of spending it all.	Don't ask me for a loan, please. I don't believe in lending money to friends.
train	chain2_962_244_103_579_938_614	Could you please help me find something to wear tomorrow?	Sure! Let's go see what you have.	Have you seen my new closet redesign yet?	No, I don't think I have.	It's the best ever, I can find anything easily.	I d love to see it someday..
train	chain2_624_1458_188_1112_548_285	Will you help me?	Yes, what can I help with?	I'm moving next Saturday. Do you have a truck?	I've got a small pickup truck. Are you moving a lot of stuff?	No, I just have few boxes of books and clothes.	Okay well tell me a time and I'll be there.
train	chain2_1290_648_418_1050_588_688	Where should we eat?	At Jack in the box	I don't really like Jack in the Box. Can we go somewhere else?	Sure how about Taco Bell?	Oh yeah, I love their wraps.	I really like their crunch wraps
train	chain3_456_128_264_121_229_61	Where did you get that great purse?	I found it online.	Did you get free shipping?	I always do. I have Amazon Prime.	It's not free if you pay $79/year for it.	But it does ensure the most ill pay for shipping will be 79 dollars per year and i do order alot of things online with Amazon.
train	chain2_1860_671_631_243_367_641	Can I get you a glass of water?	That would be great.	Do you want ice in your water?	No thanks, I like it warm.	Okay, coming right up.	Thank you. You're so nice.
train	chain2_1416_1389_1055_381_674_849	Do you have any pets?	I have a betta fish, he is named Arthur.	Cool!  I have one too!	I got him a couple weeks ago.	I also have a dog!	Cool I love dogs.
train	chain2_1712_709_346_679_728_165	That's a great shirt where did you get it?	I GOT IT AT THE MALL.	How much was it?	It was $32 in the new store next to the theater.	Sweet. Was that the regular price or was it on sale?	That was the regular price.
train	chain2_2016_1015_923_775_1153_624	Could I have some milk please?	Yes, I will pour you a glass.	Thank-you so much!  I love milk.	Well, we can't have cookies without milk!	Do we have cookies here?	Yes, chocolate chip or Oreos?
train	chain2_1663_588_791_1040_1118_10	Can you come again tomorrow?	Yeah, I'll stop by in the morning.	Sounds perfect, see you then.	Do you need me to bring anything?	Can you get me five pounds of rat poison?	You're planning on starting a pest control company or what?
train	chain2_1073_715_992_1158_992_694	Have you ever gone hunting?	NO, I HAVE NOT.	Do you like the idea of hunting?	I like the idea of eating meat, but not of killing it.	Do you go fishing?	Yes, I love to fish.
train	chain2_506_616_5_28_1078_815	Are these dishes clean?	yeah just done them	Then why are there noodles hanging from that plate?	Because I didn't scrub hard enough.	Can you please clean them again then ?	i guess so.....
train	chain2_1634_631_748_831_102_326	Are you feeling well?	No, I've been feeling sick for a while now.	Maybe you should go to the doctor.	Too hard to get an appointment. I might head to the urgent care clinic.	I can take you if you want a ride.	Yes please. I will feel much better if i had someone with me.
train	chain2_164_1014_873_540_527_931	Can you bring that to me?	Of course, I'll be back soon.	Thanks so much!	You are very welcome.	Drive carefully, it's raining pretty hard out there.	I will take it nice and slow, thanks.
train	chain3_243_111_220_26_51_90	Where are my pants?	Sorry, I forgot to take them out of the Dryer.	That's fine, I'll get them.	I hope they're done.	Me too, I hate going to parties with wet pants.	If they aren't dry we can find something else for you to wear tonight!
